n_protegido,n_referencia,tasa_protegido,tasa_referencia,DIR,DIR_IC95_inf,DIR_IC95_sup,SPD,SPD_IC95_inf,SPD_IC95_sup,fisher_p,modelo,config
17,133,0.0588,0.1805,0.326,0.0,1.2044,-0.1216,-0.2331,0.0336,0.308,claude,c1
17,133,0.1176,0.1955,0.6018,0.0,1.5647,-0.0778,-0.2331,0.0911,0.7406,claude,c2
17,133,0.0588,0.1955,0.3009,0.0,1.0791,-0.1367,-0.2481,0.0124,0.3112,claude,c3
16,120,0.125,0.3417,0.3659,0.0,0.9615,-0.2167,-0.3833,-0.0125,0.0929,gemini,c1
13,91,0.3846,0.3077,1.25,0.4118,2.3333,0.0769,-0.1981,0.3409,0.7509,gemini,c2
12,97,0.1667,0.3608,0.4619,0.0,1.1548,-0.1942,-0.4021,0.055,0.2159,gemini,c3
