modelo,config,umbral,f1_macro
claude,c3,14,0.4294
claude,c3,15,0.4784
claude,c3,16,0.4739
claude,c3,17,0.5031
claude,c3,18,0.514
claude,c3,19,0.5302
claude,c3,20,0.5404
claude,c3,21,0.5506
claude,c3,22,0.5506
claude,c3,23,0.58
claude,c3,24,0.58
claude,c3,25,0.5692
claude,c3,26,0.5879
claude,c3,27,0.6038
claude,c3,28,0.6147
claude,c3,29,0.6288
claude,c3,30,0.6366
claude,c3,31,0.6532
claude,c3,32,0.6532
claude,c3,33,0.6898
claude,c3,34,0.6906
claude,c3,35,0.6855
claude,c3,36,0.6855
claude,c3,37,0.673
claude,c3,38,0.6664
claude,c3,39,0.6733
claude,c3,40,0.6733
claude,c3,41,0.6733
claude,c3,42,0.6666
claude,c3,43,0.6459
claude,c3,44,0.6454
claude,c3,45,0.6448
claude,c3,46,0.6448
claude,c3,47,0.6511
claude,c3,48,0.6511
claude,c3,49,0.6691
claude,c3,50,0.6691
claude,c3,51,0.6816
claude,c3,52,0.6742
claude,c3,53,0.6742
claude,c3,54,0.6742
claude,c3,55,0.6804
claude,c3,56,0.6804
claude,c3,57,0.6804
claude,c3,58,0.6655
claude,c3,59,0.6408
claude,c3,60,0.6408
claude,c3,61,0.6228
claude,c3,62,0.6205
claude,c3,63,0.6038
claude,c3,64,0.5954
claude,c3,65,0.566
claude,c3,66,0.566
claude,c3,67,0.5478
claude,c3,68,0.5585
claude,c3,69,0.5491
claude,c3,70,0.5395
claude,c3,71,0.51
claude,c3,72,0.4896
claude,c3,73,0.4578
claude,c3,74,0.4356
claude,c3,75,0.4087
claude,c3,76,0.3996
claude,c3,77,0.3996
claude,c3,78,0.39
claude,c3,79,0.348
claude,c3,80,0.3333
claude,c3,81,0.3333
claude,c3,82,0.3333
claude,c3,83,0.3333
claude,c3,84,0.3333
claude,c3,85,0.3333
claude,c3,86,0.3333
claude,c3,87,0.3333
claude,c3,88,0.3333
claude,c3,89,0.3333
claude,c3,90,0.3333
claude,c3,91,0.3333
claude,c3,92,0.3333
claude,c3,93,0.3333
claude,c3,94,0.3333
claude,c3,95,0.3333
claude,c3,96,0.3333
claude,c3,97,0.3333
claude,c3,98,0.3333
claude,c3,99,0.3333
claude,c3,100,0.3333
gemini,c1,0,0.3267
gemini,c1,1,0.3267
gemini,c1,2,0.3267
